Origin,Destination,FlightNumber,DepartureDate,bookedPax,capacity,DepartureTime,Lid,adjustedCapacity,tbf_bookings
BLR,DEL,1359,2023-10-18,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-19,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-20,4,174,10:00,174,174,0
BLR,DEL,1359,2023-10-21,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-22,2,174,10:00,174,174,0
BLR,DEL,1359,2023-10-23,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-24,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-25,0,174,10:00,174,174,0
BLR,DEL,1336,2023-10-25,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-26,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-27,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-28,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-29,0,174,10:00,174,174,0
BLR,DEL,1336,2023-10-29,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-30,0,174,10:00,174,174,0
BLR,DEL,1336,2023-10-30,0,174,10:00,174,174,0
BLR,DEL,1336,2023-10-31,0,174,10:00,174,174,0
BLR,DEL,1359,2023-10-31,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-01,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-01,1,174,10:00,174,174,0
BLR,DEL,1359,2023-11-02,1,174,10:00,174,174,0
BLR,DEL,1336,2023-11-02,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-03,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-03,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-04,2,174,10:00,174,174,0
BLR,DEL,1336,2023-11-04,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-05,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-05,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-06,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-06,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-07,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-07,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-08,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-08,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-09,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-10,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-10,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-11,3,174,10:00,174,174,0
BLR,DEL,1336,2023-11-11,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-12,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-12,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-13,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-14,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-14,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-16,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-16,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-17,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-17,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-18,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-18,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-19,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-19,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-20,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-20,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-21,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-21,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-22,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-22,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-23,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-23,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-24,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-24,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-25,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-25,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-26,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-26,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-27,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-27,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-28,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-28,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-29,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-29,0,174,10:00,174,174,0
BLR,DEL,1359,2023-11-30,0,174,10:00,174,174,0
BLR,DEL,1336,2023-11-30,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-01,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-01,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-02,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-02,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-03,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-03,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-04,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-04,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-05,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-05,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-06,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-06,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-07,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-07,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-08,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-08,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-09,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-10,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-10,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-11,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-11,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-12,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-12,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-13,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-13,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-14,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-14,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-15,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-16,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-16,1,174,10:00,174,174,0
BLR,DEL,1359,2023-12-17,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-17,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-18,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-18,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-19,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-19,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-20,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-20,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-21,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-21,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-22,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-22,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-23,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-23,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-24,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-24,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-25,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-25,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-26,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-26,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-27,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-27,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-28,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-28,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-29,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-29,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-30,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-30,0,174,10:00,174,174,0
BLR,DEL,1359,2023-12-31,0,174,10:00,174,174,0
BLR,DEL,1336,2023-12-31,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-01,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-01,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-02,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-02,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-03,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-03,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-04,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-04,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-05,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-05,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-06,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-06,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-07,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-07,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-08,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-08,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-09,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-09,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-10,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-10,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-11,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-11,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-12,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-12,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-13,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-13,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-14,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-15,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-15,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-16,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-16,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-17,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-17,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-18,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-18,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-19,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-19,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-20,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-20,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-21,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-21,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-22,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-22,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-23,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-23,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-24,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-24,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-25,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-25,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-26,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-26,0,174,10:00,174,174,0
